PrintStream.append(char)	Appends the specified character to this output stream
RandomAccessFile.readLong()	Reads a signed 64 bit integer from this file This method reads eight bytes from the file starting at the current file pointer
ByteArrayOutputStream.ByteArrayOutputStream()	Creates a new byte array output stream The buffer capacity is initially 32 bytes though its size increases if necessary
ObjectInputStream.read()	Reads a byte of data This method will block if no input is available
DataOutput.writeByte(int)	Writes to the output stream the eight low order bits of the argument v
DataOutput.writeChar(int)	Writes a char value which is comprised of two bytes to the output stream
PrintStream.println(Object)	Prints an Object and then terminate the line This method calls at first String valueOf x to get the printed object s string value then behaves as though it invokes print String and then println
DataOutputStream.writeUTF(String)	Writes a string to the underlying output stream using modified UTF 8 encoding in a machine independent manner
FileOutputStream.write(byte[])	Writes b length bytes from the specified byte array to this file output stream
PrintStream.print(Object)	Prints an object The string produced by the String valueOf Object method is translated into bytes according to the platform s default character encoding and these bytes are written in exactly the manner of the write int method
ObjectOutputStream.writeBoolean(boolean)	Writes a boolean
CharArrayWriter.append(CharSequence)	Appends the specified character sequence to this writer
InputStreamReader.InputStreamReader(InputStream,String)	Creates an InputStreamReader that uses the named charset
FileInputStream.skip(long)	Skips over and discards n bytes of data from the input stream
FileDescriptor.valid()	Tests if this file descriptor object is valid
PrintStream.PrintStream(String)	Creates a new print stream without automatic line flushing with the specified file name This convenience constructor creates the necessary intermediate OutputStreamWriter which will encode characters using the default charset for this instance of the Java virtual machine
DataInput.readBoolean()	Reads one input byte and returns true if that byte is nonzero false if that byte is zero
ObjectInputStream.readByte()	Reads an 8 bit byte
ObjectInputStream.GetField.get(String,double)	Get the value of the named double field from the persistent field
ByteArrayOutputStream.write(byte[],int,int)	Writes len bytes from the specified byte array starting at offset off to this byte array output stream
LineNumberReader.reset()	Reset the stream to the most recent mark
StringWriter.write(String,int,int)	Write a portion of a string
Reader.skip(long)	Skips characters This method will block until some characters are available an I O error occurs or the end of the stream is reached
ObjectInputValidation.validateObject()	Validates the object
PipedReader.PipedReader(int)	Creates a PipedReader so that it is not yet connected and uses the specified pipe size for the pipe s buffer
PrintWriter.print(int)	Prints an integer The string produced by String valueOf int is translated into bytes according to the platform s default character encoding and these bytes are written in exactly the manner of the write int method
OutputStream.OutputStream()	
FilePermission.FilePermission(String,String)	Creates a new FilePermission object with the specified actions
BufferedReader.skip(long)	Skips characters
StringWriter.append(CharSequence,int,int)	Appends a subsequence of the specified character sequence to this writer
DataInputStream.readChar()	See the general contract of the readChar method of DataInput
ObjectOutputStream.writeInt(int)	Writes a 32 bit int
File.getUsableSpace()	Returns the number of bytes available to this virtual machine on the partition named by this abstract pathname When possible this method checks for write permissions and other operating system restrictions and will therefore usually provide a more accurate estimate of how much new data can actually be written than getFreeSpace
Reader.close()	Closes the stream and releases any system resources associated with it Once the stream has been closed further read ready mark reset or skip invocations will throw an IOException
ObjectOutputStream.close()	Closes the stream This method must be called to release any resources associated with the stream
PrintStream.PrintStream(OutputStream,boolean,String)	Creates a new print stream
StreamTokenizer.lowerCaseMode(boolean)	Determines whether or not word token are automatically lowercased
FilterInputStream.read(byte[])	Reads up to byte length bytes of data from this input stream into an array of bytes This method blocks until some input is available
ObjectOutputStream.useProtocolVersion(int)	Specify stream protocol version to use when writing the stream
RandomAccessFile.seek(long)	Sets the file pointer offset measured from the beginning of this file at which the next read or write occurs The offset may be set beyond the end of the file Setting the offset beyond the end of the file does not change the file length The file length will change only by writing after the offset has been set beyond the end of the file
ObjectInputStream.GetField.get(String,byte)	Get the value of the named byte field from the persistent field
DataOutput.writeChars(String)	Writes every character in the string s to the output stream in order two bytes per character If s is null a NullPointerException is thrown If s length is zero then no characters are written
ObjectOutputStream.reset()	Reset will disregard the state of any objects already written to the stream The state is reset to be the same as a new ObjectOutputStream
PipedInputStream.PipedInputStream(int)	Creates a PipedInputStream so that it is not yet connected and uses the specified pipe size for the pipe s buffer
ObjectOutputStream.writeObject(Object)	Write the specified object to the ObjectOutputStream The class of the object the signature of the class and the values of the non transient and non static fields of the class and all of its supertypes are written Default serialization for a class can be overridden using the writeObject and the readObject methods Objects referenced by this object are written transitively so that a complete equivalent graph of objects can be reconstructed by an ObjectInputStream
FilterReader.read()	Reads a single character
PrintWriter.println(String)	Prints a String and then terminates the line This method behaves as though it invokes print String and then println
StreamTokenizer.slashStarComments(boolean)	Determines whether or not the tokenizer recognizes C style comments
PrintStream.println(int)	Prints an integer and then terminate the line This method behaves as though it invokes print int and then println
PushbackReader.markSupported()	Tells whether this stream supports the mark operation which it does not
ObjectOutputStream.writeChar(int)	Writes a 16 bit char
ObjectOutput.writeObject(Object)	Write an object to the underlying storage or stream The class that implements this interface defines how the object is written
DataOutputStream.writeDouble(double)	Converts the double argument to a long using the doubleToLongBits method in class Double and then writes that long value to the underlying output stream as an 8 byte quantity high byte first If no exception is thrown the counter written is incremented by 8
StreamTokenizer.quoteChar(int)	Specifies that matching pairs of this character delimit string constants in this tokenizer
ObjectInputStream.readInt()	Reads a 32 bit int
ObjectInput.read()	Reads a byte of data This method will block if no input is available
FilterInputStream.skip(long)	Skips over and discards n bytes of data from the input stream The skip method may for a variety of reasons end up skipping over some smaller number of bytes possibly 0 The actual number of bytes skipped is returned
PushbackInputStream.PushbackInputStream(InputStream)	Creates a PushbackInputStream and saves its argument the input stream in for later use Initially there is no pushed back byte the field pushBack is initialized to 1
PrintStream.print(int)	Prints an integer The string produced by String valueOf int is translated into bytes according to the platform s default character encoding and these bytes are written in exactly the manner of the write int method
PushbackInputStream.available()	Returns an estimate of the number of bytes that can be read or skipped over from this input stream without blocking by the next invocation of a method for this input stream The next invocation might be the same thread or another thread A single read or skip of this many bytes will not block but may read or skip fewer bytes
RandomAccessFile.writeInt(int)	Writes an int to the file as four bytes high byte first
BufferedWriter.flush()	Flushes the stream
DataOutputStream.writeInt(int)	Writes an int to the underlying output stream as four bytes high byte first If no exception is thrown the counter written is incremented by 4
DataInputStream.readInt()	See the general contract of the readInt method of DataInput
FilterReader.ready()	Tells whether this stream is ready to be read
PrintWriter.close()	Closes the stream and releases any system resources associated with it Closing a previously closed stream has no effect
OutputStreamWriter.OutputStreamWriter(OutputStream,CharsetEncoder)	Creates an OutputStreamWriter that uses the given charset encoder
ObjectStreamField.isUnshared()	Returns boolean value indicating whether or not the serializable field represented by this ObjectStreamField instance is unshared
PrintWriter.append(char)	Appends the specified character to this writer
CharArrayWriter.write(String,int,int)	Write a portion of a string to the buffer
DataOutputStream.flush()	Flushes this data output stream This forces any buffered output bytes to be written out to the stream
ObjectOutput.write(int)	Writes a byte This method will block until the byte is actually written
Flushable.flush()	Flushes this stream by writing any buffered output to the underlying stream
DataOutput.writeUTF(String)	Writes two bytes of length information to the output stream followed by the modified UTF 8 representation of every character in the string s
RandomAccessFile.writeLong(long)	Writes a long to the file as eight bytes high byte first
SequenceInputStream.SequenceInputStream(Enumeration)	Initializes a newly created SequenceInputStream by remembering the argument which must be an Enumeration that produces objects whose run time type is InputStream
DataInputStream.readUnsignedShort()	See the general contract of the readUnsignedShort method of DataInput
LineNumberReader.setLineNumber(int)	Set the current line number
PushbackReader.unread(char[],int,int)	Pushes back a portion of an array of characters by copying it to the front of the pushback buffer After this method returns the next character to be read will have the value cbuf off the character after that will have the value cbuf off 1 and so forth
ObjectOutputStream.writeUnshared(Object)	Writes an unshared object to the ObjectOutputStream This method is identical to writeObject except that it always writes the given object as a new unique object in the stream as opposed to a back reference pointing to a previously serialized instance Specifically An object written via writeUnshared is always serialized in the same manner as a newly appearing object an object that has not been written to the stream yet regardless of whether or not the object has been written previously
PushbackInputStream.unread(byte[],int,int)	Pushes back a portion of an array of bytes by copying it to the front of the pushback buffer After this method returns the next byte to be read will have the value b off the byte after that will have the value b off 1 and so forth
FileOutputStream.getFD()	Returns the file descriptor associated with this stream
LineNumberInputStream.read(byte[],int,int)	Reads up to len bytes of data from this input stream into an array of bytes This method blocks until some input is available
InputStreamReader.close()	Description copied from class Reader
BufferedOutputStream.BufferedOutputStream(OutputStream,int)	Creates a new buffered output stream to write data to the specified underlying output stream with the specified buffer size
PrintWriter.println(char)	Prints a character and then terminates the line This method behaves as though it invokes print char and then println
RandomAccessFile.getFD()	Returns the opaque file descriptor object associated with this stream
ObjectInputStream.readUTF()	Reads a String in modified UTF 8 format
PipedOutputStream.write(int)	Writes the specified byte to the piped output stream
PushbackInputStream.PushbackInputStream(InputStream,int)	Creates a PushbackInputStream with a pushback buffer of the specified size and saves its argument the input stream in for later use Initially there is no pushed back byte the field pushBack is initialized to 1
StringReader.ready()	Tells whether this stream is ready to be read
StringWriter.close()	Closing a StringWriter has no effect The methods in this class can be called after the stream has been closed without generating an IOException
RandomAccessFile.read()	Reads a byte of data from this file The byte is returned as an integer in the range 0 to 255 0x00 0x0ff This method blocks if no input is yet available
RandomAccessFile.writeBoolean(boolean)	Writes a boolean to the file as a one byte value The value true is written out as the value byte 1 the value false is written out as the value byte 0 The write starts at the current position of the file pointer
Console.format(String,)	Writes a formatted string to this console s output stream using the specified format string and arguments
ObjectOutputStream.PutField.write(ObjectOutput)	Write the data and fields to the specified ObjectOutput stream which must be the same stream that produced this PutField object
DataInputStream.readByte()	See the general contract of the readByte method of DataInput
FileInputStream.read(byte[],int,int)	Reads up to len bytes of data from this input stream into an array of bytes If len is not zero the method blocks until some input is available otherwise no bytes are read and 0 is returned
ObjectStreamClass.forClass()	Return the class in the local VM that this version is mapped to Null is returned if there is no corresponding local class
DataOutputStream.writeChars(String)	Writes a string to the underlying output stream as a sequence of characters Each character is written to the data output stream as if by the writeChar method If no exception is thrown the counter written is incremented by twice the length of s
ObjectOutputStream.PutField.put(String,char)	Put the value of the named char field into the persistent field
File.canExecute()	Tests whether the application can execute the file denoted by this abstract pathname
CharArrayReader.CharArrayReader(char[],int,int)	Creates a CharArrayReader from the specified array of chars
PrintWriter.append(CharSequence,int,int)	Appends a subsequence of the specified character sequence to this writer
RandomAccessFile.readDouble()	Reads a double from this file This method reads a long value starting at the current file pointer as if by the readLong method and then converts that long to a double using the longBitsToDouble method in class Double
BufferedInputStream.mark(int)	See the general contract of the mark method of InputStream
StreamTokenizer.resetSyntax()	Resets this tokenizer s syntax table so that all characters are ordinary See the ordinaryChar method for more information on a character being ordinary
RandomAccessFile.getFilePointer()	Returns the current offset in this file
ObjectInputStream.readFully(byte[])	Reads bytes blocking until all bytes are read
FilterInputStream.mark(int)	Marks the current position in this input stream A subsequent call to the reset method repositions this stream at the last marked position so that subsequent reads re read the same bytes
FilterOutputStream.FilterOutputStream(OutputStream)	Creates an output stream filter built on top of the specified underlying output stream
ObjectInput.available()	Returns the number of bytes that can be read without blocking
DataInput.skipBytes(int)	Makes an attempt to skip over n bytes of data from the input stream discarding the skipped bytes However it may skip over some smaller number of bytes possibly zero This may result from any of a number of conditions reaching end of file before n bytes have been skipped is only one possibility
ObjectStreamField.compareTo(Object)	Compare this field with another ObjectStreamField Return 1 if this is smaller 0 if equal 1 if greater Types that are primitives are smaller than object types If equal the field names are compared
FilterWriter.write(char[],int,int)	Writes a portion of an array of characters
RandomAccessFile.readUnsignedByte()	Reads an unsigned eight bit number from this file This method reads a byte from this file starting at the current file pointer and returns that byte
FilterInputStream.read(byte[],int,int)	Reads up to len bytes of data from this input stream into an array of bytes If len is not zero the method blocks until some input is available otherwise no bytes are read and 0 is returned
InputStream.InputStream()	
Console.readPassword()	Reads a password or passphrase from the console with echoing disabled
DataOutput.writeFloat(float)	Writes a float value which is comprised of four bytes to the output stream
StreamTokenizer.commentChar(int)	Specified that the character argument starts a single line comment All characters from the comment character to the end of the line are ignored by this stream tokenizer
PipedOutputStream.PipedOutputStream()	Creates a piped output stream that is not yet connected to a piped input stream It must be connected to a piped input stream either by the receiver or the sender before being used
StringBufferInputStream.read(byte[],int,int)	Reads up to len bytes of data from this input stream into an array of bytes
Writer.append(char)	Appends the specified character to this writer
BufferedWriter.write(int)	Writes a single character
PrintStream.PrintStream(OutputStream,boolean)	Creates a new print stream
ObjectInputStream.skipBytes(int)	Skips bytes
File.toPath()	Returns a java nio file Path object constructed from the this abstract path The resulting Path is associated with the default filesystem
RandomAccessFile.read(byte[],int,int)	Reads up to len bytes of data from this file into an array of bytes This method blocks until at least one byte of input is available
ObjectOutputStream.PutField.ObjectOutputStream.PutField()	
ObjectInputStream.readLine()	Reads in a line that has been terminated by a n r r n or EOF
StringWriter.append(char)	Appends the specified character to this writer
PrintWriter.print(char[])	Prints an array of characters The characters are converted into bytes according to the platform s default character encoding and these bytes are written in exactly the manner of the write int method
BufferedInputStream.reset()	See the general contract of the reset method of InputStream
ObjectOutput.close()	Closes the stream This method must be called to release any resources associated with the stream
PipedInputStream.close()	Closes this piped input stream and releases any system resources associated with the stream
DataInput.readLine()	Reads the next line of text from the input stream
StreamTokenizer.wordChars(int,int)	Specifies that all characters c in the range low c high are word constituents A word token consists of a word constituent followed by zero or more word constituents or number constituents
FileWriter.FileWriter(FileDescriptor)	Constructs a FileWriter object associated with a file descriptor
ObjectOutputStream.writeUTF(String)	Primitive data write of this String in modified UTF 8 format Note that there is a significant difference between writing a String into the stream as primitive data or as an Object A String instance written by writeObject is written into the stream as a String initially Future writeObject calls write references to the string into the stream
ByteArrayOutputStream.close()	Closing a ByteArrayOutputStream has no effect The methods in this class can be called after the stream has been closed without generating an IOException
BufferedReader.markSupported()	Tells whether this stream supports the mark operation which it does
PrintStream.write(byte[],int,int)	Writes len bytes from the specified byte array starting at offset off to this stream If automatic flushing is enabled then the flush method will be invoked
PrintWriter.format(Locale,String,)	Writes a formatted string to this writer using the specified format string and arguments If automatic flushing is enabled calls to this method will flush the output buffer
Writer.write(char[],int,int)	Writes a portion of an array of characters
ObjectInputStream.ObjectInputStream(InputStream)	Creates an ObjectInputStream that reads from the specified InputStream
File.File(String)	Creates a new File instance by converting the given pathname string into an abstract pathname If the given string is the empty string then the result is the empty abstract pathname
StringBufferInputStream.read()	Reads the next byte of data from this input stream The value byte is returned as an int in the range 0 to 255 If no byte is available because the end of the stream has been reached the value 1 is returned
File.delete()	Deletes the file or directory denoted by this abstract pathname If this pathname denotes a directory then the directory must be empty in order to be deleted
ByteArrayInputStream.skip(long)	Skips n bytes of input from this input stream Fewer bytes might be skipped if the end of the input stream is reached
RandomAccessFile.writeBytes(String)	Writes the string to the file as a sequence of bytes Each character in the string is written out in sequence by discarding its high eight bits The write starts at the current position of the file pointer
CharArrayReader.read(char[],int,int)	Reads characters into a portion of an array
ObjectStreamField.ObjectStreamField(String,Class,boolean)	Creates an ObjectStreamField representing a serializable field with the given name and type If unshared is false values of the represented field are serialized and deserialized in the default manner if the field is non primitive object values are serialized and deserialized as if they had been written and read by calls to writeObject and readObject If unshared is true values of the represented field are serialized and deserialized as if they had been written and read by calls to writeUnshared and readUnshared
File.getFreeSpace()	Returns the number of unallocated bytes in the partition named by this abstract path name
ByteArrayOutputStream.toByteArray()	Creates a newly allocated byte array Its size is the current size of this output stream and the valid contents of the buffer have been copied into it
PrintWriter.PrintWriter(OutputStream)	Creates a new PrintWriter without automatic line flushing from an existing OutputStream This convenience constructor creates the necessary intermediate OutputStreamWriter which will convert characters into bytes using the default character encoding
DataInput.readByte()	Reads and returns one input byte
RandomAccessFile.write(byte[],int,int)	Writes len bytes from the specified byte array starting at offset off to this file
StringBufferInputStream.available()	Returns the number of bytes that can be read from the input stream without blocking
PrintWriter.print(long)	Prints a long integer The string produced by String valueOf long is translated into bytes according to the platform s default character encoding and these bytes are written in exactly the manner of the write int method
ObjectInputStream.GetField.defaulted(String)	Return true if the named field is defaulted and has no value in this stream
DataInput.readUTF()	Reads in a string that has been encoded using a modified UTF 8 format
BufferedReader.BufferedReader(Reader)	Creates a buffering character input stream that uses a default sized input buffer
DataOutputStream.writeShort(int)	Writes a short to the underlying output stream as two bytes high byte first If no exception is thrown the counter written is incremented by 2
Reader.markSupported()	Tells whether this stream supports the mark operation The default implementation always returns false Subclasses should override this method
ObjectStreamClass.getSerialVersionUID()	Return the serialVersionUID for this class The serialVersionUID defines a set of classes all with the same name that have evolved from a common root class and agree to be serialized and deserialized using a common format NonSerializable classes have a serialVersionUID of 0L
PushbackReader.unread(char[])	Pushes back an array of characters by copying it to the front of the pushback buffer After this method returns the next character to be read will have the value cbuf 0 the character after that will have the value cbuf 1 and so forth
RandomAccessFile.getChannel()	Returns the unique FileChannel object associated with this file
Writer.write(String)	Writes a string
CharArrayWriter.close()	Close the stream This method does not release the buffer since its contents might still be required Note Invoking this method in this class will have no effect
StreamTokenizer.ordinaryChars(int,int)	Specifies that all characters c in the range low c high are ordinary in this tokenizer See the ordinaryChar method for more information on a character being ordinary
Writer.close()	Closes the stream flushing it first Once the stream has been closed further write or flush invocations will cause an IOException to be thrown Closing a previously closed stream has no effect
StreamTokenizer.whitespaceChars(int,int)	Specifies that all characters c in the range low c high are white space characters White space characters serve only to separate tokens in the input stream
FileOutputStream.write(int)	Writes the specified byte to this file output stream Implements the write method of OutputStream
PrintStream.println()	Terminates the current line by writing the line separator string The line separator string is defined by the system property line separator and is not necessarily a single newline character n
File.mkdirs()	Creates the directory named by this abstract pathname including any necessary but nonexistent parent directories Note that if this operation fails it may have succeeded in creating some of the necessary parent directories
LineNumberInputStream.read()	Reads the next byte of data from this input stream The value byte is returned as an int in the range 0 to 255 If no byte is available because the end of the stream has been reached the value 1 is returned This method blocks until input data is available the end of the stream is detected or an exception is thrown
PipedOutputStream.close()	Closes this piped output stream and releases any system resources associated with this stream This stream may no longer be used for writing bytes
FileOutputStream.getChannel()	Returns the unique FileChannel object associated with this file output stream The initial position of the returned channel will be equal to the number of bytes written to the file so far unless this stream is in append mode in which case it will be equal to the size of the file
RandomAccessFile.readLine()	Reads the next line of text from this file This method successively reads bytes from the file starting at the current file pointer until it reaches a line terminator or the end of the file Each byte is converted into a character by taking the byte s value for the lower eight bits of the character and setting the high eight bits of the character to zero This method does not therefore support the full Unicode character set
PushbackInputStream.skip(long)	Skips over and discards n bytes of data from this input stream The skip method may for a variety of reasons end up skipping over some smaller number of bytes possibly zero If n is negative no bytes are skipped
