Source.getSystemId()	Get the system identifier that was set with setSystemId
TransformerException.setLocator(SourceLocator)	Method setLocator sets an instance of a SourceLocator object that specifies where an error occurred
Templates.getOutputProperties()	Get the properties corresponding to the effective xsl output element
Transformer.transform(Source,Result)	Transform the XML Source to a Result
StreamSource.StreamSource(File)	Construct a StreamSource from a File
TransformerConfigurationException.TransformerConfigurationException(Throwable)	Create a new TransformerConfigurationException with a given Exception base cause of the error
SAXTransformerFactory.newXMLFilter(Source)	Create an XMLFilter that uses the given Source as the transformation instructions
StreamSource.getSystemId()	Get the system identifier that was set with setSystemId
SourceLocator.getPublicId()	Return the public identifier for the current document event
TransformerFactory.getFeature(String)	Look up the value of a feature
Source.setSystemId(String)	Set the system identifier for this Source
Transformer.setOutputProperties(Properties)	Set the output properties for the transformation These properties will override properties set in the Templates with xsl output
SAXSource.getInputSource()	Get the SAX InputSource to be used for the Source
DOMResult.setSystemId(String)	Set the systemId that may be used in association with the node
SAXSource.setXMLReader(XMLReader)	Set the XMLReader to be used for the Source
Transformer.getParameter(String)	Get a parameter that was explicitly set with setParameter
SAXTransformerFactory.newTransformerHandler()	Get a TransformerHandler object that can process SAX ContentHandler events into a Result The transformation is defined as an identity or copy transformation for example to copy a series of SAX parse events into a DOM tree
StreamSource.StreamSource(Reader)	Construct a StreamSource from a character reader Normally a stream should be used rather than a reader so that the XML parser can resolve character encoding specified by the XML declaration However in many cases the encoding of the input stream is already resolved as in the case of reading XML from a StringReader
TransformerFactory.setAttribute(String,Object)	Allows the user to set specific attributes on the underlying implementation An attribute in this context is defined to be an option that the implementation provides
TransformerFactory.getURIResolver()	Get the object that is used by default during the transformation to resolve URIs used in document xsl import or xsl include
TransformerConfigurationException.TransformerConfigurationException(String,SourceLocator,Throwable)	Wrap an existing exception in a TransformerConfigurationException
TransformerFactory.newInstance(String,ClassLoader)	Obtain a new instance of a TransformerFactory from factory class name
TransformerException.TransformerException(String)	Create a new TransformerException
StreamResult.setOutputStream(OutputStream)	Set the ByteStream that is to be written to Normally a stream should be used rather than a reader so that the transformer may use instructions contained in the transformation instructions to control the encoding
DOMSource.getNode()	Get the node that represents a Source DOM tree
TransformerFactoryConfigurationError.getMessage()	Return the message if any for this error If there is no message for the exception and there is an encapsulated exception then the message of that exception will be returned
DOMSource.DOMSource(Node,String)	Create a new input source with a DOM node and with the system ID also passed in as the base URI
SAXSource.SAXSource()	Zero argument default constructor If this constructor is used and no SAX source is set using setInputSource InputSource inputSource then the Transformer will create an empty source InputSource using new InputSource
SAXResult.SAXResult()	Zero argument default constructor
SAXTransformerFactory.newTemplatesHandler()	Get a TemplatesHandler object that can process SAX ContentHandler events into a Templates object
TransformerException.getCause()	Returns the cause of this throwable or null if the cause is nonexistent or unknown The cause is the throwable that caused this throwable to get thrown
DOMResult.getNode()	Get the node that will contain the result DOM tree
StreamResult.StreamResult(String)	Construct a StreamResult from a URL
TransformerException.TransformerException(String,SourceLocator,Throwable)	Wrap an existing exception in a TransformerException
Transformer.getOutputProperties()	Get a copy of the output properties for the transformation
SAXSource.setSystemId(String)	Set the system identifier for this Source If an input source has already been set it will set the system ID or that input source otherwise it will create a new input source
SAXSource.getSystemId()	Get the base ID URI or system ID from where URIs will be resolved
StreamResult.StreamResult()	Zero argument default constructor
SourceLocator.getLineNumber()	Return the line number where the current document event ends
TransformerFactory.setFeature(String,boolean)	Set a feature for this TransformerFactory and Transformers or Templates created by this factory
TransformerFactory.getErrorListener()	Get the error event handler for the TransformerFactory
Transformer.getOutputProperty(String)	Get an output property that is in effect for the transformer
TransformerException.getLocator()	Method getLocator retrieves an instance of a SourceLocator object that specifies where an error occurred
TransformerException.getMessageAndLocation()	Get the error message with location information appended
SAXResult.getSystemId()	Get the system identifier that was set with setSystemId
TransformerConfigurationException.TransformerConfigurationException(String,SourceLocator)	Create a new TransformerConfigurationException from a message and a Locator
TransformerException.TransformerException(String,Throwable)	Wrap an existing exception in a TransformerException
Transformer.getErrorListener()	Get the error event handler in effect for the transformation
Transformer.setErrorListener(ErrorListener)	Set the error event listener in effect for the transformation
StreamResult.setSystemId(String)	Set the systemID that may be used in association with the byte or character stream or if neither is set use this value as a writeable URI probably a file name
TransformerHandler.getTransformer()	Get the Transformer associated with this handler which is needed in order to set parameters and output properties
StreamResult.getOutputStream()	Get the byte stream that was set with setOutputStream
TransformerFactoryConfigurationError.TransformerFactoryConfigurationError(String)	Create a new TransformerFactoryConfigurationError with the String specified as an error message
SAXResult.getLexicalHandler()	Get a SAX2 LexicalHandler for the output
StAXResult.getXMLStreamWriter()	Get the XMLStreamWriter used by this StAXResult
TransformerException.TransformerException(String,SourceLocator)	Create a new TransformerException from a message and a Locator
DOMSource.getSystemId()	Get the base ID URL or system ID from where URLs will be resolved
TemplatesHandler.getTemplates()	When a TemplatesHandler object is used as a ContentHandler for the parsing of transformation instructions it creates a Templates object which the caller can get once the SAX events have been completed
StreamSource.getInputStream()	Get the byte stream that was set with setByteStream
TransformerFactory.newTransformer()	Create a new Transformer that performs a copy of the Source to the Result
URIResolver.resolve(String,String)	Called by the processor when it encounters an xsl include xsl import or document function
SAXSource.setInputSource(InputSource)	Set the SAX InputSource to be used for the Source
DOMSource.DOMSource()	Zero argument default constructor If this constructor is used and no DOM source is set using setNode Node node then the Transformer will create an empty source Document using DocumentBuilder newDocument
StreamSource.StreamSource(InputStream)	Construct a StreamSource from a byte stream Normally a stream should be used rather than a reader so the XML parser can resolve character encoding specified by the XML declaration
SourceLocator.getSystemId()	Return the system identifier for the current document event
DOMLocator.getOriginatingNode()	Return the node where the event occurred
SAXResult.setLexicalHandler(LexicalHandler)	Set the SAX2 LexicalHandler for the output
Transformer.getURIResolver()	Get an object that will be used to resolve URIs used in document
DOMSource.setSystemId(String)	Set the base ID URL or system ID from where URLs will be resolved
SAXResult.SAXResult(ContentHandler)	Create a SAXResult that targets a SAX2 ContentHandler
TransformerFactoryConfigurationError.TransformerFactoryConfigurationError(Exception,String)	Create a new TransformerFactoryConfigurationError with the given Exception base cause and detail message
