Thread.checkAccess()	Determines if the currently running thread has permission to modify this thread
Character.isJavaLetter(char)	Determines if the specified character is permissible as the first character in a Java identifier
IndexOutOfBoundsException.IndexOutOfBoundsException(String)	Constructs an IndexOutOfBoundsException with the specified detail message
Constructor.getGenericParameterTypes()	Returns an array of Type objects that represent the formal parameter types in declaration order of the method represented by this Constructor object Returns an array of length 0 if the underlying method takes no parameters
IllegalArgumentException.IllegalArgumentException(String,Throwable)	Constructs a new exception with the specified detail message and cause
Member.getModifiers()	Returns the Java language modifiers for the member or constructor represented by this Member as an integer The Modifier class should be used to decode the modifiers in the integer
Byte.valueOf(String,int)	Returns a Byte object holding the value extracted from the specified String when parsed with the radix given by the second argument The first argument is interpreted as representing a signed byte in the radix specified by the second argument exactly as if the argument were given to the parseByte java lang String int method The result is a Byte object that represents the byte value specified by the string
StringBuilder.insert(int,Object)	Inserts the string representation of the Object argument into this character sequence
ProcessBuilder.Redirect.equals(Object)	Compares the specified object with this Redirect for equality Returns true if and only if the two objects are identical or both objects are Redirect instances of the same type associated with non null equal File instances
Character.isLetter(int)	Determines if the specified character Unicode code point is a letter
Character.getNumericValue(char)	Returns the int value that the specified Unicode character represents For example the character u216C the roman numeral fifty will return an int with a value of 50
SwitchPoint.guardWithTest(MethodHandle,MethodHandle)	Returns a method handle which always delegates either to the target or the fallback
Appendable.append(char)	Appends the specified character to this Appendable
Character.isSpaceChar(int)	Determines if the specified character Unicode code point is a Unicode space character A character is considered to be a space character if and only if it is specified to be a space character by the Unicode Standard This method returns true if the character s general category type is any of the following SPACE SEPARATOR LINE SEPARATOR PARAGRAPH SEPARATOR
ThreadGroup.resume()	Resumes all threads in this thread group
Class.getPackage()	Gets the package for this class The class loader of this class is used to find the package If the class was loaded by the bootstrap class loader the set of packages loaded from CLASSPATH is searched to find the package of the class Null is returned if no package object was created by the class loader of this class
StrictMath.pow(double,double)	Returns the value of the first argument raised to the power of the second argument Special cases If the second argument is positive or negative zero then the result is 1 0
Math.ulp(float)	Returns the size of an ulp of the argument An ulp of a float value is the positive distance between this floating point value and the float value next larger in magnitude Note that for non NaN x ulp x ulp x
PlatformManagedObject.getObjectName()	Returns an ObjectName instance representing the object name of this platform managed object
Class.getResource(String)	Finds a resource with a given name The rules for searching resources associated with a given class are implemented by the defining class loader of the class This method delegates to this object s class loader If this object was loaded by the bootstrap class loader the method delegates to ClassLoader getSystemResource java lang String
ThreadMXBean.getThreadInfo(long[])	Returns the thread info for each thread whose ID is in the input array ids with no stack trace
LockInfo.getClassName()	Returns the fully qualified name of the class of the lock object
MethodHandles.Lookup.findStatic(Class,String,MethodType)	Produces a method handle for a static method
StringBuffer.appendCodePoint(int)	Appends the string representation of the codePoint argument to this sequence
MemoryUsage.from(CompositeData)	Returns a MemoryUsage object represented by the given CompositeData The given CompositeData must contain the following attributes Attribute Name Type init java lang Long used java lang Long committed java lang Long max java lang Long
Method.toString()	Returns a string describing this Method The string is formatted as the method access modifiers if any followed by the method return type followed by a space followed by the class declaring the method followed by a period followed by the method name followed by a parenthesized comma separated list of the method s formal parameter types If the method throws checked exceptions the parameter list is followed by a space followed by the word throws followed by a comma separated list of the thrown exception types
Boolean.toString(boolean)	Returns a String object representing the specified boolean If the specified boolean is true then the string true will be returned otherwise the string false will be returned
Thread.dumpStack()	Prints a stack trace of the current thread to the standard error stream
Modifier.fieldModifiers()	Return an int value OR ing together the source language modifiers that can be applied to a field
StackTraceElement.hashCode()	Returns a hash code value for this stack trace element
String.String()	Initializes a newly created String object so that it represents an empty character sequence Note that use of this constructor is unnecessary since Strings are immutable
Character.isMirrored(int)	Determines whether the specified character Unicode code point is mirrored according to the Unicode specification Mirrored characters should have their glyphs horizontally mirrored when displayed in text that is right to left For example u0028 LEFT PARENTHESIS is semantically defined to be an opening parenthesis This will appear as a in text that is left to right but as a in text that is right to left
Math.abs(double)	Returns the absolute value of a double value
Object.getClass()	Returns the runtime class of this Object The returned Class object is the object that is locked by static synchronized methods of the represented class
MemoryMXBean.getHeapMemoryUsage()	Returns the current memory usage of the heap that is used for object allocation The heap consists of one or more memory pools The used and committed size of the returned memory usage is the sum of those values of all heap memory pools whereas the init and max size of the returned memory usage represents the setting of the heap memory which may not be the sum of those of all heap memory pools
Instrumentation.addTransformer(ClassFileTransformer,boolean)	Registers the supplied transformer All future class definitions will be seen by the transformer except definitions of classes upon which any registered transformer is dependent
UnsupportedClassVersionError.UnsupportedClassVersionError(String)	Constructs a UnsupportedClassVersionError with the specified detail message
Class.getSigners()	Gets the signers of this class
Class.getAnnotations()	Description copied from interface AnnotatedElement
Throwable.getLocalizedMessage()	Creates a localized description of this throwable
UnsupportedOperationException.UnsupportedOperationException(String)	Constructs an UnsupportedOperationException with the specified detail message
Class.getDeclaredConstructors()	Returns an array of Constructor objects reflecting all the constructors declared by the class represented by this Class object These are public protected default package access and private constructors The elements in the array returned are not sorted and are not in any particular order If the class has a default constructor it is included in the returned array
Thread.join()	Waits for this thread to die
RuntimeMXBean.getLibraryPath()	Returns the Java library path
Class.toString()	Converts the object to a string The string representation is the string class or interface followed by a space and then by the fully qualified name of the class in the format returned by getName If this Class object represents a primitive type this method returns the name of the primitive type If this Class object represents void this method returns void
StringBuffer.toString()	Returns a string representing the data in this sequence
String.String(byte[],String)	Constructs a new String by decoding the specified array of bytes using the specified charset The length of the new String is a function of the charset and hence may not be equal to the length of the byte array
Class.forName(String)	Returns the Class object associated with the class or interface with the given string name Invoking this method is equivalent to Class forName className true currentLoader where currentLoader denotes the defining class loader of the current class
Long.compare(long,long)	Compares two long values numerically
Error.Error(String)	Constructs a new error with the specified detail message The cause is not initialized and may subsequently be initialized by a call to Throwable initCause java lang Throwable
SecurityManager.checkAwtEventQueueAccess()	Throws a SecurityException if the calling thread is not allowed to access the AWT event queue
Class.isAnonymousClass()	Returns true if and only if the underlying class is an anonymous class
NullPointerException.NullPointerException(String)	Constructs a NullPointerException with the specified detail message
Float.compareTo(Float)	Compares two Float objects numerically There are two ways in which comparisons performed by this method differ from those performed by the Java language numerical comparison operators when applied to primitive float values Float NaN is considered by this method to be equal to itself and greater than all other float values including Float POSITIVE INFINITY
Math.toDegrees(double)	Converts an angle measured in radians to an approximately equivalent angle measured in degrees The conversion from radians to degrees is generally inexact users should not expect cos toRadians 90 0 to exactly equal 0 0
CallSite.getTarget()	Returns the target method of the call site according to the behavior defined by this call site s specific class
AnnotationTypeMismatchException.foundType()	Returns the type of data found in the incorrectly typed element
System.console()	Returns the unique Console object associated with the current Java virtual machine if any
String.valueOf(float)	Returns the string representation of the float argument
Modifier.isProtected(int)	Return true if the integer argument includes the protected modifier false otherwise
String.indexOf(String)	Returns the index within this string of the first occurrence of the specified substring
ClassLoader.getSystemResource(String)	Find a resource of the specified name from the search path used to load classes This method locates the resource through the system class loader see getSystemClassLoader
StringBuilder.setCharAt(int,char)	The character at the specified index is set to ch This sequence is altered to represent a new character sequence that is identical to the old character sequence except that it contains the character ch at position index
String.length()	Returns the length of this string
Character.Character(char)	Constructs a newly allocated Character object that represents the specified char value
ThreadGroup.toString()	Returns a string representation of this Thread group
MemoryPoolMXBean.getUsageThresholdCount()	Returns the number of times that the memory usage has crossed the usage threshold
ExceptionInInitializerError.getCause()	Returns the cause of this error the exception that occurred during a static initialization that caused this error to be created
ArithmeticException.ArithmeticException()	Constructs an ArithmeticException with no detail message
Class.getFields()	Returns an array containing Field objects reflecting all the accessible public fields of the class or interface represented by this Class object The elements in the array returned are not sorted and are not in any particular order This method returns an array of length 0 if the class or interface has no accessible public fields or if it represents an array class a primitive type or void
Double.compareTo(Double)	Compares two Double objects numerically There are two ways in which comparisons performed by this method differ from those performed by the Java language numerical comparison operators when applied to primitive double values Double NaN is considered by this method to be equal to itself and greater than all other double values including Double POSITIVE INFINITY
MemoryManagerMXBean.getMemoryPoolNames()	Returns the name of memory pools that this memory manager manages
BufferPoolMXBean.getMemoryUsed()	Returns an estimate of the memory that the Java virtual machine is using for this buffer pool The value returned by this method may differ from the estimate of the total capacity of the buffers in this pool This difference is explained by alignment memory allocator and other implementation specific reasons
Thread.Thread(ThreadGroup,Runnable)	Allocates a new Thread object This constructor has the same effect as Thread group target gname where gname is a newly generated name Automatically generated names are of the form Thread n where n is an integer
ClassCastException.ClassCastException(String)	Constructs a ClassCastException with the specified detail message
Character.equals(Object)	Compares this object against the specified object
ThreadInfo.getLockOwnerId()	Returns the ID of the thread which owns the object for which the thread associated with this ThreadInfo is blocked waiting
Class.isMemberClass()	Returns true if and only if the underlying class is a member class
RuntimeMXBean.getName()	Returns the name representing the running Java virtual machine
Integer.rotateLeft(int,int)	Returns the value obtained by rotating the two s complement binary representation of the specified int value left by the specified number of bits Bits shifted out of the left hand or high order side reenter on the right or low order Note that left rotation with a negative distance is equivalent to right rotation rotateLeft val distance rotateRight val distance Note also that rotation by any multiple of 32 is a no op so all but the last five bits of the rotation distance can be ignored even if the distance is negative rotateLeft val distance rotateLeft val distance 0x1F
Instrumentation.isNativeMethodPrefixSupported()	Returns whether the current JVM configuration supports setting a native method prefix
StringBuilder.append(int)	Appends the string representation of the int argument to this sequence
InheritableThreadLocal.InheritableThreadLocal()	
Float.Float(double)	Constructs a newly allocated Float object that represents the argument converted to type float
Long.toOctalString(long)	Returns a string representation of the long argument as an unsigned integer in base 8
String.matches(String)	Tells whether or not this string matches the given regular expression
Character.isLowerCase(char)	Determines if the specified character is a lowercase character
InstantiationError.InstantiationError(String)	Constructs an InstantiationError with the specified detail message
MethodHandles.exactInvoker(MethodType)	Produces a special invoker method handle which can be used to invoke any method handle of the given type as if by invokeExact
StrictMath.atan(double)	Returns the arc tangent of a value the returned angle is in the range pi 2 through pi 2 Special cases If the argument is NaN then the result is NaN
StrictMath.IEEEremainder(double,double)	Computes the remainder operation on two arguments as prescribed by the IEEE 754 standard
ThreadMXBean.isThreadCpuTimeEnabled()	Tests if thread CPU time measurement is enabled
System.setErr(PrintStream)	Reassigns the standard error output stream
StringBuilder.lastIndexOf(String,int)	Returns the index within this string of the last occurrence of the specified substring The integer returned is the largest value k such that k Math min fromIndex this length this toString startsWith str k If no such value of k exists then 1 is returned
ThreadGroup.stop()	Stops all threads in this thread group
StringBuilder.insert(int,long)	Inserts the string representation of the long argument into this sequence
ClassLoadingMXBean.getUnloadedClassCount()	Returns the total number of classes unloaded since the Java virtual machine has started execution
StringBuilder.append(float)	Appends the string representation of the float argument to this sequence
NoSuchMethodException.NoSuchMethodException(String)	Constructs a NoSuchMethodException with a detail message
MethodHandles.Lookup.findSetter(Class,String,Class)	Produces a method handle giving write access to a non static field
ThreadInfo.getLockedSynchronizers()	Returns an array of LockInfo objects each of which represents an ownable synchronizer currently locked by the thread associated with this ThreadInfo If no locked synchronizer was requested for this thread info or no synchronizer is locked by the thread this method will return a zero length array
Method.isBridge()	Returns true if this method is a bridge method returns false otherwise
Annotation.toString()	Returns a string representation of this annotation The details of the representation are implementation dependent but the following may be regarded as typical com acme util Name first Alfred middle E last Neuman
ProcessBuilder.redirectInput(File)	Sets this process builder s standard input source to a file
Field.setShort(Object,short)	Sets the value of a field as a short on the specified object
ThreadMXBean.setThreadContentionMonitoringEnabled(boolean)	Enables or disables thread contention monitoring
ThreadDeath.ThreadDeath()	
ManagementFactory.getCompilationMXBean()	Returns the managed bean for the compilation system of the Java virtual machine This method returns null if the Java virtual machine has no compilation system
Thread.getAllStackTraces()	Returns a map of stack traces for all live threads
Constructor.equals(Object)	Compares this Constructor against the specified object
Constructor.getName()	Returns the name of this constructor as a string This is the binary name of the constructor s declaring class
ClassLoadingMXBean.getLoadedClassCount()	Returns the number of classes that are currently loaded in the Java virtual machine
Field.getDeclaringClass()	Returns the Class object representing the class or interface that declares the field represented by this Field object
StringBuilder.insert(int,String)	Inserts the string into this character sequence
Field.equals(Object)	Compares this Field against the specified object Returns true if the objects are the same Two Field objects are the same if they were declared by the same class and have the same name and type
ThreadMXBean.getCurrentThreadCpuTime()	Returns the total CPU time for the current thread in nanoseconds
String.isEmpty()	Returns true if and only if length is 0
IllegalStateException.IllegalStateException(String)	Constructs an IllegalStateException with the specified detail message A detail message is a String that describes this particular exception
StringBuffer.insert(int,CharSequence,int,int)	Inserts a subsequence of the specified CharSequence into this sequence
String.valueOf(int)	Returns the string representation of the int argument
Character.isValidCodePoint(int)	Determines whether the specified code point is a valid Unicode code point value
Runtime.exec(String[],String[],File)	Executes the specified command and arguments in a separate process with the specified environment and working directory
MethodHandles.Lookup.unreflect(Method)	Makes a direct method handle to m if the lookup class has permission
Class.getName()	Returns the name of the entity class interface array class primitive type or void represented by this Class object as a String
Character.highSurrogate(int)	Returns the leading surrogate a high surrogate code unit of the surrogate pair representing the specified supplementary character Unicode code point in the UTF 16 encoding If the specified character is not a supplementary character an unspecified char is returned
MethodHandles.dropArguments(MethodHandle,int,Class)	Produces a method handle which will discard some dummy arguments before calling some other specified target method handle
Byte.valueOf(String)	Returns a Byte object holding the value given by the specified String The argument is interpreted as representing a signed decimal byte exactly as if the argument were given to the parseByte java lang String method The result is a Byte object that represents the byte value specified by the string
Array.getByte(Object,int)	Returns the value of the indexed component in the specified array object as a byte
SecurityManager.getThreadGroup()	Returns the thread group into which to instantiate any new thread being created at the time this is being called
Field.isSynthetic()	Returns true if this field is a synthetic field returns false otherwise
AccessibleObject.isAnnotationPresent(Class)	Description copied from interface AnnotatedElement
Package.getAnnotations()	Description copied from interface AnnotatedElement
InstantiationException.InstantiationException(String)	Constructs an InstantiationException with the specified detail message
Character.isMirrored(char)	Determines whether the character is mirrored according to the Unicode specification Mirrored characters should have their glyphs horizontally mirrored when displayed in text that is right to left For example u0028 LEFT PARENTHESIS is semantically defined to be an opening parenthesis This will appear as a in text that is left to right but as a in text that is right to left
StringBuffer.append(float)	Appends the string representation of the float argument to this sequence
RuntimeMXBean.getSpecVendor()	Returns the Java virtual machine specification vendor
ExceptionInInitializerError.ExceptionInInitializerError()	Constructs an ExceptionInInitializerError with null as its detail message string and with no saved throwable object
NoSuchMethodError.NoSuchMethodError(String)	Constructs a NoSuchMethodError with the specified detail message
MethodHandle.asCollector(Class,int)	Makes an array collecting method handle which accepts a given number of trailing positional arguments and collects them into an array argument
Math.nextAfter(float,double)	Returns the floating point number adjacent to the first argument in the direction of the second argument If both arguments compare as equal a value equivalent to the second argument is returned
Float.parseFloat(String)	Returns a new float initialized to the value represented by the specified String as performed by the valueOf method of class Float
InvocationHandler.invoke(Object,Method,Object[])	Processes a method invocation on a proxy instance and returns the result This method will be invoked on an invocation handler when a method is invoked on a proxy instance that it is associated with
ProcessBuilder.redirectError(File)	Sets this process builder s standard error destination to a file
ProcessBuilder.redirectOutput(File)	Sets this process builder s standard output destination to a file
IllegalThreadStateException.IllegalThreadStateException()	Constructs an IllegalThreadStateException with no detail message
Runtime.getRuntime()	Returns the runtime object associated with the current Java application
ProcessBuilder.inheritIO()	Sets the source and destination for subprocess standard I O to be the same as those of the current Java process
ManagementPermission.ManagementPermission(String)	Constructs a ManagementPermission with the specified name
UnknownError.UnknownError()	Constructs an UnknownError with no detail message
Byte.doubleValue()	Returns the value of this Byte as a double
Math.ceil(double)	Returns the smallest closest to negative infinity double value that is greater than or equal to the argument and is equal to a mathematical integer Special cases If the argument value is already equal to a mathematical integer then the result is the same as the argument If the argument is NaN or an infinity or positive zero or negative zero then the result is the same as the argument If the argument value is less than zero but greater than 1 0 then the result is negative zero Note that the value of Math ceil x is exactly the value of Math floor x
Math.hypot(double,double)	Returns sqrt x2 y2 without intermediate overflow or underflow
AssertionError.AssertionError(String,Throwable)	Constructs a new AssertionError with the specified detail message and cause
Throwable.printStackTrace()	Prints this throwable and its backtrace to the standard error stream This method prints a stack trace for this Throwable object on the error output stream that is the value of the field System err The first line of output contains the result of the toString method for this object Remaining lines represent data previously recorded by the method fillInStackTrace The format of this information depends on the implementation but the following example may be regarded as typical java lang NullPointerException at MyClass mash MyClass java 9 at MyClass crunch MyClass java 6 at MyClass main MyClass java 3 This example was produced by running the program class MyClass public static void main String args crunch null static void crunch int a mash a static void mash int b System out println b 0 The backtrace for a throwable with an initialized non null cause should generally include the backtrace for the cause The format of this information depends on the implementation but the following example may be regarded as typical HighLevelException MidLevelException LowLevelException at Junk a Junk java 13 at Junk main Junk java 4 Caused by MidLevelException LowLevelException at Junk c Junk java 23 at Junk b Junk java 17 at Junk a Junk java 11 1 more Caused by LowLevelException at Junk e Junk java 30 at Junk d Junk java 27 at Junk c Junk java 21 3 more Note the presence of lines containing the characters
RuntimeMXBean.getVmName()	Returns the Java virtual machine implementation name
Class.getAnnotation(Class)	Description copied from interface AnnotatedElement
Runtime.totalMemory()	Returns the total amount of memory in the Java virtual machine
Annotation.equals(Object)	Returns true if the specified object represents an annotation that is logically equivalent to this one In other words returns true if the specified object is an instance of the same annotation type as this instance all of whose members are equal to the corresponding member of this annotation as defined below Two corresponding primitive typed members whose values are x and y are considered equal if x y unless their type is float or double
ProcessBuilder.command()	Returns this process builder s operating system program and arguments The returned list is not a copy Subsequent updates to the list will be reflected in the state of this process builder
Thread.Thread(ThreadGroup,String)	Allocates a new Thread object This constructor has the same effect as Thread group null name
Character.isLetterOrDigit(char)	Determines if the specified character is a letter or digit
Appendable.append(CharSequence,int,int)	Appends a subsequence of the specified character sequence to this Appendable
Double.doubleValue()	Returns the double value of this Double object
AnnotationTypeMismatchException.element()	Returns the Method object for the incorrectly typed element
String.regionMatches(boolean,int,String,int,int)	Tests if two string regions are equal
MethodHandles.identity(Class)	Produces a method handle which returns its sole argument when invoked
StrictMath.max(int,int)	Returns the greater of two int values That is the result is the argument closer to the value of Integer MAX VALUE If the arguments have the same value the result is that same value
Short.valueOf(String)	Returns a Short object holding the value given by the specified String The argument is interpreted as representing a signed decimal short exactly as if the argument were given to the parseShort java lang String method The result is a Short object that represents the short value specified by the string
AnnotatedElement.getAnnotation(Class)	Returns this element s annotation for the specified type if such an annotation is present else null
ClassLoader.getResourceAsStream(String)	Returns an input stream for reading the specified resource
Constructor.getTypeParameters()	Returns an array of TypeVariable objects that represent the type variables declared by the generic declaration represented by this GenericDeclaration object in declaration order Returns an array of length 0 if the underlying generic declaration declares no type variables
Character.offsetByCodePoints(char[],int,int,int,int)	Returns the index within the given char subarray that is offset from the given index by codePointOffset code points The start and count arguments specify a subarray of the char array Unpaired surrogates within the text range given by index and codePointOffset count as one code point each
StringBuffer.delete(int,int)	Removes the characters in a substring of this sequence
Compiler.compileClasses(String)	Compiles all classes whose name matches the specified string
Character.toLowerCase(int)	Converts the character Unicode code point argument to lowercase using case mapping information from the UnicodeData file
Math.sqrt(double)	Returns the correctly rounded positive square root of a double value
StrictMath.getExponent(double)	Returns the unbiased exponent used in the representation of a double Special cases If the argument is NaN or infinite then the result is Double MAX EXPONENT 1
StrictMath.rint(double)	Returns the double value that is closest in value to the argument and is equal to a mathematical integer If two double values that are mathematical integers are equally close to the value of the argument the result is the integer value that is even Special cases If the argument value is already equal to a mathematical integer then the result is the same as the argument
String.copyValueOf(char[])	Returns a String that represents the character sequence in the array specified
CompilationMXBean.isCompilationTimeMonitoringSupported()	Tests if the Java virtual machine supports the monitoring of compilation time
Float.floatValue()	Returns the float value of this Float object
StringBuilder.appendCodePoint(int)	Appends the string representation of the codePoint argument to this sequence
Compiler.compileClass(Class)	Compiles the specified class
Constructor.getDeclaringClass()	Returns the Class object representing the class that declares the constructor represented by this Constructor object
Object.Object()	
Package.getImplementationVersion()	Return the version of this implementation It consists of any string assigned by the vendor of this implementation and does not have any particular syntax specified or expected by the Java runtime It may be compared for equality with other package version strings used for this implementation by this vendor for this package
MemoryPoolMXBean.isValid()	Tests if this memory pool is valid in the Java virtual machine A memory pool becomes invalid once the Java virtual machine removes it from the memory system
NoClassDefFoundError.NoClassDefFoundError(String)	Constructs a NoClassDefFoundError with the specified detail message
System.setOut(PrintStream)	Reassigns the standard output stream
Field.getInt(Object)	Gets the value of a static or instance field of type int or of another primitive type convertible to type int via a widening conversion
Object.notifyAll()	Wakes up all threads that are waiting on this object s monitor A thread waits on an object s monitor by calling one of the wait methods
String.String(byte[],int,int,Charset)	Constructs a new String by decoding the specified subarray of bytes using the specified charset
StrictMath.abs(double)	Returns the absolute value of a double value
WildcardType.getLowerBounds()	Returns an array of Type objects representing the lower bound s of this type variable Note that if no lower bound is explicitly declared the lower bound is the type of null
Constructor.getExceptionTypes()	Returns an array of Class objects that represent the types of exceptions declared to be thrown by the underlying constructor represented by this Constructor object Returns an array of length 0 if the constructor declares no exceptions in its throws clause
MethodHandles.Lookup.toString()	Displays the name of the class from which lookups are to be made
AccessibleObject.setAccessible(boolean)	Set the accessible flag for this object to the indicated boolean value A value of true indicates that the reflected object should suppress Java language access checking when it is used A value of false indicates that the reflected object should enforce Java language access checks
ProcessBuilder.redirectInput()	Returns this process builder s standard input source
Reference.enqueue()	Adds this reference object to the queue with which it is registered if any
SecurityManager.checkRead(FileDescriptor)	Throws a SecurityException if the calling thread is not allowed to read from the specified file descriptor
Field.getLong(Object)	Gets the value of a static or instance field of type long or of another primitive type convertible to type long via a widening conversion
Package.getImplementationVendor()	Returns the name of the organization vendor or company that provided this implementation
StrictMath.max(float,float)	Returns the greater of two float values That is the result is the argument closer to positive infinity If the arguments have the same value the result is that same value If either value is NaN then the result is NaN Unlike the numerical comparison operators this method considers negative zero to be strictly smaller than positive zero If one argument is positive zero and the other negative zero the result is positive zero
MethodHandles.publicLookup()	Returns a lookup object which is trusted minimally
InterruptedException.InterruptedException()	Constructs an InterruptedException with no detail message
Member.getName()	Returns the simple name of the underlying member or constructor represented by this Member
Character.isUpperCase(int)	Determines if the specified character Unicode code point is an uppercase character
String.equals(Object)	Compares this string to the specified object The result is true if and only if the argument is not null and is a String object that represents the same sequence of characters as this object
Class.getEnclosingConstructor()	If this Class object represents a local or anonymous class within a constructor returns a Constructor object representing the immediately enclosing constructor of the underlying class Returns null otherwise In particular this method returns null if the underlying class is a local or anonymous class immediately enclosed by a type declaration instance initializer or static initializer
GenericArrayType.getGenericComponentType()	Returns a Type object representing the component type of this array This method creates the component type of the array See the declaration of ParameterizedType for the semantics of the creation process for parameterized types and see TypeVariable for the creation process for type variables
Boolean.equals(Object)	Returns true if and only if the argument is not null and is a Boolean object that represents the same boolean value as this object
Long.getLong(String,Long)	Returns the long value of the system property with the specified name The first argument is treated as the name of a system property System properties are accessible through the System getProperty java lang String method The string value of this property is then interpreted as a long value as per the Long decode method and a Long object representing this value is returned
System.inheritedChannel()	Returns the channel inherited from the entity that created this Java virtual machine
Class.isAnnotationPresent(Class)	Description copied from interface AnnotatedElement
Field.set(Object,Object)	Sets the field represented by this Field object on the specified object argument to the specified new value The new value is automatically unwrapped if the underlying field has a primitive type
ArrayStoreException.ArrayStoreException(String)	Constructs an ArrayStoreException with the specified detail message
MethodHandle.invokeExact()	Invokes the method handle allowing any caller type descriptor but requiring an exact type match
MethodHandle.bindTo(Object)	Binds a value x to the first argument of a method handle without invoking it
IllegalMonitorStateException.IllegalMonitorStateException()	Constructs an IllegalMonitorStateException with no detail message
Number.longValue()	Returns the value of the specified number as a long
Package.toString()	Returns the string representation of this Package
Package.isCompatibleWith(String)	Compare this package s specification version with a desired version It returns true if this packages specification version number is greater than or equal to the desired version number Version numbers are compared by sequentially comparing corresponding components of the desired and specification strings
MethodHandles.Lookup.unreflectSpecial(Method,Class)	Produces a method handle for a reflected method
Character.isLetter(char)	Determines if the specified character is a letter
Short.floatValue()	Returns the value of this Short as a float
Long.getLong(String)	Determines the long value of the system property with the specified name
StrictMath.nextAfter(float,double)	Returns the floating point number adjacent to the first argument in the direction of the second argument If both arguments compare as equal a value equivalent to the second argument is returned
StringBuilder.insert(int,float)	Inserts the string representation of the float argument into this sequence
Double.intValue()	Returns the value of this Double as an int by casting to type int
MutableCallSite.setTarget(MethodHandle)	Updates the target method of this call site as a normal variable
ManagementFactory.getGarbageCollectorMXBeans()	Returns a list of GarbageCollectorMXBean objects in the Java virtual machine
Character.getType(int)	Returns a value indicating a character s general category
Character.isAlphabetic(int)	Determines if the specified character Unicode code point is an alphabet
MethodType.genericMethodType(int,boolean)	Finds or creates a method type whose components are Object with an optional trailing Object array
StringBuilder.append(char[])	Appends the string representation of the char array argument to this sequence
MethodType.toString()	Returns a string representation of the method type of the form PT0 PT1 RT
ManagementFactory.getOperatingSystemMXBean()	Returns the managed bean for the operating system on which the Java virtual machine is running
NoSuchMethodException.NoSuchMethodException()	Constructs a NoSuchMethodException without a detail message
StringBuffer.insert(int,int)	Inserts the string representation of the second int argument into this sequence
Double.isInfinite()	Returns true if this Double value is infinitely large in magnitude false otherwise
