ConcurrentLinkedDeque.ConcurrentLinkedDeque()	Constructs an empty deque
Logger.setParent(Logger)	Set the parent for this Logger This method is used by the LogManager to update a Logger when the namespace changes
ZipFile.ZipFile(String)	Opens a zip file for reading
ArrayBlockingQueue.drainTo(Collection,int)	Description copied from interface BlockingQueue
TreeMap.values()	Returns a Collection view of the values contained in this map
RecursiveTask.RecursiveTask()	
AtomicReferenceFieldUpdater.set(T,V)	Sets the field of the given object managed by this updater to the given updated value This operation is guaranteed to act as a volatile store with respect to subsequent invocations of compareAndSet
Arrays.copyOf(char[],int)	Copies the specified array truncating or padding with null characters if necessary so the copy has the specified length For all indices that are valid in both the original array and the copy the two arrays will contain identical values For any indices that are valid in the copy but not the original the copy will contain u000 Such indices will exist if and only if the specified length is greater than that of the original array
ConcurrentSkipListMap.subMap(K,boolean,K,boolean)	Description copied from interface NavigableMap
ConcurrentNavigableMap.headMap(K)	Description copied from interface NavigableMap
ConcurrentSkipListMap.ConcurrentSkipListMap()	Constructs a new empty map sorted according to the natural ordering of the keys
ConcurrentSkipListSet.clear()	Removes all of the elements from this set
AbstractQueuedLongSynchronizer.ConditionObject.awaitUntil(Date)	Implements absolute timed condition wait
ZipException.ZipException()	Constructs a ZipException with null as its error detail message
Collections.binarySearch(List,T)	Searches the specified list for the specified object using the binary search algorithm The list must be sorted into ascending order according to the natural ordering of its elements as by the sort List method prior to making this call If it is not sorted the results are undefined If the list contains multiple elements equal to the specified object there is no guarantee which one will be found
CancellationException.CancellationException()	Constructs a CancellationException with no detail message
Deque.size()	Returns the number of elements in this deque
AtomicIntegerArray.getAndAdd(int,int)	Atomically adds the given value to the element at index i
Collection.toArray(T[])	Returns an array containing all of the elements in this collection the runtime type of the returned array is that of the specified array
NavigableSet.pollFirst()	Retrieves and removes the first lowest element or returns null if this set is empty
Preferences.importPreferences(InputStream)	Imports all of the preferences represented by the XML document on the specified input stream The document may represent user preferences or system preferences If it represents user preferences the preferences will be imported into the calling user s preference tree even if they originally came from a different user s preference tree If any of the preferences described by the document inhabit preference nodes that do not exist the nodes will be created
ListIterator.next()	Returns the next element in the list and advances the cursor position
Future.get(long,TimeUnit)	Waits if necessary for at most the given time for the computation to complete and then retrieves its result if available
AbstractCollection.toArray()	Returns an array containing all of the elements in this collection
BlockingDeque.poll()	Retrieves and removes the head of the queue represented by this deque in other words the first element of this deque or returns null if this deque is empty
List.listIterator()	Returns a list iterator over the elements in this list in proper sequence
ReentrantLock.lock()	Acquires the lock
Calendar.setMinimalDaysInFirstWeek(int)	Sets what the minimal days required in the first week of the year are For example if the first week is defined as one that contains the first day of the first month of a year call this method with value 1 If it must be a full week use value 7
ArrayDeque.offerLast(E)	Inserts the specified element at the end of this deque
JarEntry.JarEntry(String)	Creates a new JarEntry for the specified JAR file entry name
DelayQueue.remainingCapacity()	Always returns Integer MAX VALUE because a DelayQueue is not capacity constrained
PatternSyntaxException.getIndex()	Retrieves the error index
AbstractQueuedSynchronizer.getWaitQueueLength(ConditionObject)	Returns an estimate of the number of threads waiting on the given condition associated with this synchronizer Note that because timeouts and interrupts may occur at any time the estimate serves only as an upper bound on the actual number of waiters This method is designed for use in monitoring of the system state not for synchronization control
Arrays.copyOf(T[],int)	Copies the specified array truncating or padding with nulls if necessary so the copy has the specified length For all indices that are valid in both the original array and the copy the two arrays will contain identical values For any indices that are valid in the copy but not the original the copy will contain null
Formatter.Formatter(PrintStream)	Constructs a new formatter with the specified print stream
ForkJoinPool.awaitTermination(long,TimeUnit)	Blocks until all tasks have completed execution after a shutdown request or the timeout occurs or the current thread is interrupted whichever happens first
AbstractQueuedSynchronizer.hasQueuedPredecessors()	Queries whether any threads have been waiting to acquire longer than the current thread
ThreadPoolExecutor.setKeepAliveTime(long,TimeUnit)	Sets the time limit for which threads may remain idle before being terminated If there are more than the core number of threads currently in the pool after waiting this amount of time without processing a task excess threads will be terminated This overrides any value set in the constructor
Logger.getUseParentHandlers()	Discover whether or not this logger is sending its output to its parent logger
AtomicReferenceArray.length()	Returns the length of the array
Scanner.nextBigInteger(int)	Scans the next token of the input as a BigInteger
AbstractQueuedLongSynchronizer.acquireShared(long)	Acquires in shared mode ignoring interrupts Implemented by first invoking at least once tryAcquireShared long returning on success Otherwise the thread is queued possibly repeatedly blocking and unblocking invoking tryAcquireShared long until success
ExecutorService.invokeAll(Collection,long,TimeUnit)	Executes the given tasks returning a list of Futures holding their status and results when all complete or the timeout expires whichever happens first
Vector.remove(int)	Removes the element at the specified position in this Vector
InputMismatchException.InputMismatchException()	Constructs an InputMismatchException with null as its error message string
DelayQueue.toArray()	Returns an array containing all of the elements in this queue
AtomicReferenceArray.compareAndSet(int,E,E)	Atomically sets the element at position i to the given updated value if the current value the expected value
ZipOutputStream.close()	Closes the ZIP output stream as well as the stream being filtered
LogRecord.getSequenceNumber()	Get the sequence number
IllegalFormatWidthException.getMessage()	Description copied from class Throwable
AbstractQueuedLongSynchronizer.toString()	Returns a string identifying this synchronizer as well as its state
Inflater.getTotalOut()	Returns the total number of uncompressed bytes output so far
NodeChangeEvent.NodeChangeEvent(Preferences,Preferences)	Constructs a new NodeChangeEvent instance
Collections.rotate(List,int)	Rotates the elements in the specified list by the specified distance
Properties.list(PrintStream)	Prints this property list out to the specified output stream
TimeZone.setID(String)	Sets the time zone ID This does not change any other data in the time zone object
Preferences.userRoot()	Returns the root preference node for the calling user
AbstractPreferences.toString()	Returns the absolute path name of this preferences node
LogManager.readConfiguration(InputStream)	Reinitialize the logging properties and reread the logging configuration from the given stream which should be in java util Properties format
Lock.tryLock(long,TimeUnit)	Acquires the lock if it is free within the given waiting time and the current thread has not been interrupted
LogRecord.setResourceBundle(ResourceBundle)	Set the localization resource bundle
Scanner.hasNext()	Returns true if this scanner has another token in its input
PriorityQueue.peek()	Description copied from interface Queue
Formatter.Formatter(String,String,Locale)	Constructs a new formatter with the specified file name charset and locale
ExecutorCompletionService.poll(long,TimeUnit)	Description copied from interface CompletionService
AbstractQueuedSynchronizer.toString()	Returns a string identifying this synchronizer as well as its state
ConsoleHandler.ConsoleHandler()	Create a ConsoleHandler for System err
TimeZone.getOffset(int,int,int,int,int,int)	Gets the time zone offset for current date modified in case of daylight savings This is the offset to add to UTC to get local time
Map.hashCode()	Returns the hash code value for this map The hash code of a map is defined to be the sum of the hash codes of each entry in the map s entrySet view This ensures that m1 equals m2 implies that m1 hashCode m2 hashCode for any two maps m1 and m2 as required by the general contract of Object hashCode
GZIPInputStream.GZIPInputStream(InputStream)	Creates a new input stream with a default buffer size
ForkJoinWorkerThread.getPool()	Returns the pool hosting this thread
AtomicLongFieldUpdater.decrementAndGet(T)	Atomically decrements by one the current value of the field of the given object managed by this updater
HashSet.clone()	Returns a shallow copy of this HashSet instance the elements themselves are not cloned
Lock.unlock()	Releases the lock
Formatter.format(String,)	Writes a formatted string to this object s destination using the specified format string and arguments The locale used is the one defined during the construction of this formatter
AbstractMap.SimpleEntry.equals(Object)	Compares the specified object with this entry for equality
CheckedInputStream.skip(long)	Skips specified number of bytes of input
Logger.getGlobal()	Return global logger object with the name Logger GLOBAL LOGGER NAME
TimeZone.getOffset(long)	Returns the offset of this time zone from UTC at the specified date If Daylight Saving Time is in effect at the specified date the offset value is adjusted with the amount of daylight saving
PropertyPermission.equals(Object)	Checks two PropertyPermission objects for equality Checks that obj is a PropertyPermission and has the same name and actions as this object
ConcurrentSkipListMap.higherKey(K)	Description copied from interface NavigableMap
Deque.removeFirstOccurrence(Object)	Removes the first occurrence of the specified element from this deque
Arrays.binarySearch(short[],short)	Searches the specified array of shorts for the specified value using the binary search algorithm The array must be sorted as by the sort short method prior to making this call If it is not sorted the results are undefined If the array contains multiple elements with the specified value there is no guarantee which one will be found
PreferencesFactory.systemRoot()	Returns the system root preference node Multiple calls on this method will return the same object reference
ConcurrentSkipListMap.pollLastEntry()	Removes and returns a key value mapping associated with the greatest key in this map or null if the map is empty
Condition.signalAll()	Wakes up all waiting threads
ZipEntry.getExtra()	Returns the extra field data for the entry or null if none
ResourceBundle.getStringArray(String)	Gets a string array for the given key from this resource bundle or one of its parents
UnknownFormatFlagsException.UnknownFormatFlagsException(String)	Constructs an instance of this class with the specified flags
Stack.pop()	Removes the object at the top of this stack and returns that object as the value of this function
Hashtable.size()	Returns the number of keys in this hashtable
UnknownFormatFlagsException.getMessage()	Description copied from class Throwable
AbstractExecutorService.invokeAny(Collection,long,TimeUnit)	Description copied from interface ExecutorService
CRC32.update(int)	Updates the CRC 32 checksum with the specified byte the low eight bits of the argument b
ConcurrentLinkedDeque.offer(E)	Inserts the specified element at the tail of this deque
AbstractQueuedSynchronizer.getQueueLength()	Returns an estimate of the number of threads waiting to acquire The value is only an estimate because the number of threads may change dynamically while this method traverses internal data structures This method is designed for use in monitoring system state not for synchronization control
Matcher.group()	Returns the input subsequence matched by the previous match
RejectedExecutionException.RejectedExecutionException(String,Throwable)	Constructs a RejectedExecutionException with the specified detail message and cause
SimpleTimeZone.hashCode()	Generates the hash code for the SimpleDateFormat object
Observable.deleteObservers()	Clears the observer list so that this object no longer has any observers
Locale.Builder.setRegion(String)	Sets the region If region is null or the empty string the region in this Builder is removed Otherwise the region must be well formed or an exception is thrown
ArrayBlockingQueue.ArrayBlockingQueue(int,boolean)	Creates an ArrayBlockingQueue with the given fixed capacity and the specified access policy
Locale.getDefault(Category)	Gets the current value of the default locale for the specified Category for this instance of the Java Virtual Machine
ThreadPoolExecutor.getRejectedExecutionHandler()	Returns the current handler for unexecutable tasks
ReentrantReadWriteLock.WriteLock.tryLock(long,TimeUnit)	Acquires the write lock if it is not held by another thread within the given waiting time and the current thread has not been interrupted
GregorianCalendar.isWeekDateSupported()	Returns true indicating this GregorianCalendar supports week dates
Calendar.set(int,int,int,int,int)	Sets the values for the calendar fields YEAR MONTH DAY OF MONTH HOUR OF DAY and MINUTE
AtomicInteger.getAndSet(int)	Atomically sets to the given value and returns the old value
ForkJoinPool.invoke(ForkJoinTask)	Performs the given task returning its result upon completion
LinkedTransferQueue.poll()	Description copied from interface Queue
NavigableMap.lowerEntry(K)	Returns a key value mapping associated with the greatest key strictly less than the given key or null if there is no such key
ServiceLoader.loadInstalled(Class)	Creates a new service loader for the given service type using the extension class loader
Locale.getDisplayCountry(Locale)	Returns a name for the locale s country that is appropriate for display to the user
Matcher.quoteReplacement(String)	Returns a literal replacement String for the specified String
Logger.log(Level,String)	Log a message with no arguments
Matcher.start()	Returns the start index of the previous match
ReentrantLock.getWaitQueueLength(Condition)	Returns an estimate of the number of threads waiting on the given condition associated with this lock Note that because timeouts and interrupts may occur at any time the estimate serves only as an upper bound on the actual number of waiters
PropertyResourceBundle.PropertyResourceBundle(Reader)	Creates a property resource bundle from a Reader Unlike the constructor PropertyResourceBundle InputStream there is no limitation as to the encoding of the input property file
AtomicLong.incrementAndGet()	Atomically increments by one the current value
ThreadPoolExecutor.DiscardPolicy.ThreadPoolExecutor.DiscardPolicy()	Creates a DiscardPolicy
ConcurrentHashMap.ConcurrentHashMap()	Creates a new empty map with a default initial capacity 16 load factor 0 75 and concurrencyLevel 16
Inflater.getAdler()	Returns the ADLER 32 value of the uncompressed data
Logger.logp(Level,String,String,String,Object[])	Log a message specifying source class and method with an array of object arguments
LoggingMXBean.setLoggerLevel(String,String)	Sets the specified logger to the specified new level
CopyOnWriteArraySet.retainAll(Collection)	Retains only the elements in this set that are contained in the specified collection In other words removes from this set all of its elements that are not contained in the specified collection If the specified collection is also a set this operation effectively modifies this set so that its value is the intersection of the two sets
Pack200.Unpacker.properties()	Get the set of this engine s properties This set is a live view so that changing its contents immediately affects the Packer engine and changes from the engine such as progress indications are immediately visible in the map
ConcurrentSkipListSet.tailSet(E)	Description copied from interface NavigableSet
ThreadPoolExecutor.remove(Runnable)	Removes this task from the executor s internal queue if it is present thus causing it not to be run if it has not already started
GZIPInputStream.read(byte[],int,int)	Reads uncompressed data into an array of bytes If len is not zero the method will block until some input can be decompressed otherwise no bytes are read and 0 is returned
ConcurrentSkipListSet.first()	Description copied from interface SortedSet
Arrays.copyOfRange(int[],int,int)	Copies the specified range of the specified array into a new array
PreferencesFactory.userRoot()	Returns the user root preference node corresponding to the calling user In a server the returned value will typically depend on some implicit client context
EnumMap.remove(Object)	Removes the mapping for this key from this map if present
Calendar.getMaximum(int)	Returns the maximum value for the given calendar field of this Calendar instance The maximum value is defined as the largest value returned by the get method for any possible time value The maximum value depends on calendar system specific parameters of the instance
Deque.removeLast()	Retrieves and removes the last element of this deque This method differs from pollLast only in that it throws an exception if this deque is empty
Pattern.split(CharSequence,int)	Splits the given input sequence around matches of this pattern
ForkJoinPool.ForkJoinPool(int)	Creates a ForkJoinPool with the indicated parallelism level the default thread factory no UncaughtExceptionHandler and non async LIFO processing mode
NavigableMap.pollLastEntry()	Removes and returns a key value mapping associated with the greatest key in this map or null if the map is empty
AtomicStampedReference.getStamp()	Returns the current value of the stamp
Arrays.fill(float[],float)	Assigns the specified float value to each element of the specified array of floats
Executors.newFixedThreadPool(int,ThreadFactory)	Creates a thread pool that reuses a fixed number of threads operating off a shared unbounded queue using the provided ThreadFactory to create new threads when needed At any point at most nThreads threads will be active processing tasks If additional tasks are submitted when all threads are active they will wait in the queue until a thread is available If any thread terminates due to a failure during execution prior to shutdown a new one will take its place if needed to execute subsequent tasks The threads in the pool will exist until it is explicitly shutdown
Calendar.setWeekDate(int,int,int)	Sets the date of this Calendar with the the given date specifiers week year week of year and day of week
Locale.getUnicodeLocaleAttributes()	Returns the set of unicode locale attributes associated with this locale or the empty set if it has no attributes The returned set is unmodifiable
AtomicInteger.getAndAdd(int)	Atomically adds the given value to the current value
MemoryHandler.getPushLevel()	Get the pushLevel
Formatter.Formatter(String)	Constructs a new formatter with the specified file name
Handler.isLoggable(LogRecord)	Check if this Handler would actually log a given LogRecord
Date.setHours(int)	Sets the hour of this Date object to the specified value
AtomicInteger.floatValue()	Description copied from class Number
LinkedTransferQueue.remainingCapacity()	Always returns Integer MAX VALUE because a LinkedTransferQueue is not capacity constrained
Arrays.fill(short[],int,int,short)	Assigns the specified short value to each element of the specified range of the specified array of shorts The range to be filled extends from index fromIndex inclusive to index toIndex exclusive If fromIndex toIndex the range to be filled is empty
CopyOnWriteArrayList.listIterator(int)	Returns a list iterator over the elements in this list in proper sequence starting at the specified position in the list
Properties.store(OutputStream,String)	Writes this property list key and element pairs in this Properties table to the output stream in a format suitable for loading into a Properties table using the load InputStream method
ScheduledThreadPoolExecutor.submit(Callable)	Description copied from interface ExecutorService
LinkedBlockingDeque.putFirst(E)	Description copied from interface BlockingDeque
Preferences.node(String)	Returns the named preference node in the same tree as this node creating it and any of its ancestors if they do not already exist
Adler32.update(byte[])	Updates the checksum with the specified array of bytes
MemoryHandler.flush()	Causes a flush on the target Handler
Collections.sort(List)	Sorts the specified list into ascending order according to the natural ordering of its elements
ForkJoinTask.invokeAll(Collection)	Forks all tasks in the specified collection returning when isDone holds for each task or an unchecked exception is encountered in which case the exception is rethrown If more than one task encounters an exception then this method throws any one of these exceptions If any task encounters an exception others may be cancelled However the execution status of individual tasks is not guaranteed upon exceptional return The status of each task may be obtained using getException and related methods to check if they have been cancelled completed normally or exceptionally or left unprocessed
FileHandler.FileHandler(String,int,int,boolean)	Initialize a FileHandler to write to a set of files with optional append When approximately the given limit has been written to one file another file will be opened The output will cycle through a set of count files
ReentrantReadWriteLock.ReadLock.tryLock()	Acquires the read lock only if the write lock is not held by another thread at the time of invocation
DelayQueue.add(E)	Inserts the specified element into this delay queue
LinkedBlockingDeque.pollLast(long,TimeUnit)	Description copied from interface BlockingDeque
Date.setYear(int)	Sets the year of this Date object to be the specified value plus 1900 This Date object is modified so that it represents a point in time within the specified year with the month date hour minute and second the same as before as interpreted in the local time zone Of course if the date was February 29 for example and the year is set to a non leap year then the new date will be treated as if it were on March 1
MatchResult.start()	Returns the start index of the match
Hashtable.isEmpty()	Tests if this hashtable maps no keys to values
